Episode,A2C_Reward,A3C_Reward,A2C_Steps,A3C_Steps,A2C_Loss,A3C_Loss
157,153.0,15.0,153,15,1.7174521684646606,0.49415910243988037
158,96.0,56.0,96,56,0.22115035355091095,0.4708765745162964
159,125.0,26.0,125,26,0.302920937538147,0.3579496443271637
160,179.0,24.0,179,24,0.25371503829956055,0.326082319021225
161,77.0,61.0,77,61,0.3896512985229492,0.10419819504022598
162,192.0,23.0,192,23,0.06407744437456131,0.4103989899158478
163,117.0,30.0,117,30,0.3348219394683838,0.3272177577018738
164,72.0,17.0,72,17,1.3119596242904663,0.4509894549846649
165,280.0,41.0,280,41,0.3189525604248047,0.4609695374965668
166,62.0,140.0,62,140,-0.016882706433534622,0.3519626557826996
167,54.0,13.0,54,13,0.045942943543195724,0.33628132939338684
168,109.0,48.0,109,48,0.35994571447372437,0.2707281708717346
169,252.0,42.0,252,42,0.16520866751670837,0.40213242173194885
170,186.0,31.0,186,31,0.5715023279190063,0.5835668444633484
171,144.0,22.0,144,22,0.5504983067512512,0.4683566689491272
172,220.0,205.0,220,205,0.22180026769638062,0.2968386709690094
173,74.0,42.0,74,42,0.02675654925405979,0.2233506739139557
174,120.0,125.0,120,125,0.45383700728416443,0.4439949095249176
175,119.0,20.0,119,20,0.27707353234291077,0.18005773425102234
176,103.0,133.0,103,133,0.3330250382423401,0.846267819404602
177,88.0,43.0,88,43,0.3980877995491028,0.10518054664134979
178,83.0,21.0,83,21,0.2489578276872635,0.2969670295715332
179,266.0,82.0,266,82,0.26389774680137634,0.4617992043495178
180,276.0,116.0,276,116,0.12248098850250244,0.5240437984466553
181,63.0,122.0,63,122,0.2453840970993042,0.028700556606054306
182,240.0,30.0,240,30,0.14422494173049927,0.4334177076816559
183,170.0,73.0,170,73,0.43234360218048096,0.40372687578201294
184,130.0,74.0,130,74,0.4817120432853699,0.1702689230442047
185,177.0,50.0,177,50,0.678786039352417,0.30174946784973145
186,229.0,95.0,229,95,0.3995945453643799,0.48063087463378906
187,159.0,400.0,159,400,0.5428593158721924,0.9183746576309204
188,217.0,27.0,217,27,1.060752272605896,0.17918463051319122
189,128.0,149.0,128,149,0.2139119952917099,0.8374528884887695
190,258.0,112.0,258,112,0.5303003787994385,0.6677717566490173
191,62.0,86.0,62,86,0.13797618448734283,0.16351239383220673
192,193.0,49.0,193,49,0.0856679305434227,0.019445762038230896
193,36.0,28.0,36,28,-0.06445875018835068,0.14089453220367432
194,189.0,26.0,189,26,0.08398543298244476,0.11950649321079254
195,120.0,129.0,120,129,-0.024880757555365562,0.06133560463786125
196,205.0,127.0,205,127,0.2749876081943512,0.08319451659917831
197,62.0,128.0,62,128,-0.003722026012837887,0.2694731652736664
198,293.0,111.0,293,111,-0.04426687955856323,0.5297627449035645
199,71.0,189.0,71,189,0.05669214203953743,0.3742104768753052
200,269.0,210.0,269,210,0.2847669720649719,0.5517730116844177
201,120.0,164.0,120,164,0.13193191587924957,0.2660317122936249
202,348.0,342.0,348,342,0.12421786040067673,0.2796914577484131
203,190.0,204.0,190,204,0.2771158516407013,0.06642866134643555
204,91.0,167.0,91,167,0.09565675258636475,0.2126542627811432
205,242.0,172.0,242,172,0.043090060353279114,0.1054024025797844
206,166.0,171.0,166,171,0.29093825817108154,0.3292234241962433
207,192.0,118.0,192,118,0.43564489483833313,1.2666081190109253
208,195.0,129.0,195,129,1.0706392526626587,0.16106118261814117
209,466.0,181.0,466,181,0.20337507128715515,0.5375432372093201
210,181.0,255.0,181,255,0.1502862572669983,0.4884956479072571
211,181.0,149.0,181,149,-0.04560107737779617,0.1420040726661682
212,158.0,273.0,158,273,1.506103754043579,0.22544577717781067
213,121.0,255.0,121,255,0.04474793002009392,0.530029296875
214,219.0,139.0,219,139,0.18702319264411926,-0.010865706950426102
215,148.0,211.0,148,211,0.11492667347192764,0.39008229970932007
216,157.0,144.0,157,144,1.6757266521453857,0.09937699884176254
217,143.0,294.0,143,294,1.2630687952041626,-0.11197730153799057
218,310.0,222.0,310,222,0.026165569201111794,0.4410821795463562
219,291.0,141.0,291,141,0.033681195229291916,0.2198549062013626
220,287.0,435.0,287,435,0.04386337101459503,0.17676803469657898
221,244.0,300.0,244,300,0.41451990604400635,0.279011070728302
222,324.0,266.0,324,266,0.28202828764915466,0.3128424286842346
223,357.0,363.0,357,363,0.12994593381881714,0.034469641745090485
224,164.0,255.0,164,255,0.5078119039535522,0.35757535696029663
225,160.0,258.0,160,258,0.690052330493927,0.015540622174739838
226,157.0,14.0,157,14,0.1917990744113922,0.49524810910224915
227,171.0,35.0,171,35,0.0772022232413292,0.4641515016555786
228,153.0,24.0,153,24,0.1019197627902031,0.43906477093696594
229,194.0,13.0,194,13,0.4500151574611664,0.4025760293006897
230,40.0,16.0,40,16,-0.012268071994185448,0.4947848916053772
231,124.0,14.0,124,14,-0.07669351994991302,0.40579351782798767
232,108.0,39.0,108,39,0.20900008082389832,0.5365875363349915
233,210.0,9.0,210,9,1.4376078844070435,0.5828647613525391
234,136.0,21.0,136,21,0.2289627641439438,0.4064086675643921
235,86.0,11.0,86,11,-0.012376520782709122,0.6963728666305542
236,123.0,17.0,123,17,-0.04113707318902016,0.5132287740707397
237,342.0,63.0,342,63,0.2093261033296585,0.23156096041202545
238,35.0,9.0,35,9,-0.02332673966884613,0.393353134393692
239,297.0,35.0,297,35,-0.10658088326454163,0.18181492388248444
240,205.0,27.0,205,27,-0.011320062913000584,0.11924155056476593
241,57.0,27.0,57,27,0.1657734513282776,0.300246000289917
242,432.0,45.0,432,45,0.13581670820713043,0.20680741965770721
243,241.0,74.0,241,74,-0.04299838840961456,0.43871673941612244
244,200.0,44.0,200,44,1.4644529819488525,0.34066513180732727
245,254.0,30.0,254,30,0.10890538990497589,0.44573909044265747
246,169.0,26.0,169,26,0.5242469906806946,0.2867569327354431
247,261.0,80.0,261,80,-0.04366051405668259,0.2905418574810028
248,313.0,29.0,313,29,0.17616592347621918,0.16289915144443512
249,150.0,39.0,150,39,0.3676779866218567,0.38701122999191284
250,128.0,111.0,128,111,0.1603771448135376,0.11486104130744934
251,379.0,56.0,379,56,0.2978769540786743,0.5683402419090271
252,92.0,61.0,92,61,0.06209699437022209,0.29366734623908997
253,383.0,28.0,383,28,0.9267606735229492,0.3515741527080536
254,163.0,115.0,163,115,0.4840641915798187,0.9008769392967224
255,240.0,62.0,240,62,0.08837991207838058,0.34320512413978577
256,354.0,169.0,354,169,0.012948358431458473,0.4102921485900879
257,413.0,181.0,413,181,0.20306247472763062,0.7496446967124939
258,197.0,76.0,197,76,0.42179951071739197,0.08861564099788666
259,203.0,32.0,203,32,0.3780246675014496,0.33498844504356384
260,416.0,140.0,416,140,0.10476776212453842,0.18458905816078186
261,141.0,44.0,141,44,0.35815802216529846,0.2220117449760437
262,343.0,274.0,343,274,0.4112411439418793,0.47015413641929626
263,180.0,219.0,180,219,0.04379067197442055,0.4145679175853729
264,146.0,273.0,146,273,0.23673859238624573,0.7939077615737915
265,140.0,95.0,140,95,0.5233873128890991,0.3266582787036896
266,357.0,83.0,357,83,0.7368183732032776,0.17922647297382355
